name,img_link,hypoallergenic,origin
Exotic Shorthair,https://dogell.b-cdn.net/uploads/breed/thumb_exotic-shorthair.png,False,United States
Ragdoll,https://dogell.b-cdn.net/uploads/breed/thumb_ragdoll.png,False,United States
British Shorthair,https://dogell.b-cdn.net/uploads/breed/thumb_british-shorthair.png,False,United Kingdom
Maine Coon,https://dogell.b-cdn.net/uploads/breed/thumb_maine-coon.png,False,United States
Persian,https://dogell.b-cdn.net/uploads/breed/thumb_persian.png,False,Iran
Sphynx,https://dogell.b-cdn.net/uploads/breed/thumb_sphynx.png,True,Canada
Devon Rex,https://dogell.b-cdn.net/uploads/breed/thumb_devon-rex.png,True,United Kingdom
Scottish Fold,https://dogell.b-cdn.net/uploads/breed/thumb_scottish-fold.png,False,United Kingdom
American Shorthair,https://dogell.b-cdn.net/uploads/breed/thumb_american-shorthair.png,False,United States
Abyssinian,https://dogell.b-cdn.net/uploads/breed/thumb_abyssinian.png,False,Ethiopia
Russian Blue,https://dogell.b-cdn.net/uploads/breed/thumb_russian-blue.png,True,Russia
Bengal,https://dogell.b-cdn.net/uploads/breed/thumb_bengal.png,True,United States
Cornish Rex,https://dogell.b-cdn.net/uploads/breed/thumb_cornish-rex.png,True,United Kingdom
Norwegian Forest,https://dogell.b-cdn.net/uploads/breed/thumb_norwegian-forest.png,False,Norway
Siamese,https://dogell.b-cdn.net/uploads/breed/thumb_siamese.png,True,Thailand
Oriental,https://dogell.b-cdn.net/uploads/breed/thumb_oriental.png,True,United States
Ocicat,https://dogell.b-cdn.net/uploads/breed/thumb_ocicat.png,True,United States
Tonkinese,https://dogell.b-cdn.net/uploads/breed/thumb_tonkinese.png,False,Canada
Birman,https://dogell.b-cdn.net/uploads/breed/thumb_birman.png,False,France
Selkirk Rex,https://dogell.b-cdn.net/uploads/breed/thumb_selkirk-rex.png,False,United States
Burmese,https://dogell.b-cdn.net/uploads/breed/thumb_burmese.png,True,Thailand
Siberian,https://dogell.b-cdn.net/uploads/breed/thumb_siberian.png,True,Russia
Donskoy,https://dogell.b-cdn.net/uploads/breed/thumb_donskoy.png,True,Russia
Thai,https://dogell.b-cdn.net/uploads/breed/thumb_thai.png,True,Thailand
Dwelf,https://dogell.b-cdn.net/uploads/breed/thumb_dwelf.png,False,United States
Napoleon,https://dogell.b-cdn.net/uploads/breed/thumb_napoleon.png,True,United States
Sokoke,https://dogell.b-cdn.net/uploads/breed/thumb_sokoke.png,False,United States
Serengeti,https://dogell.b-cdn.net/uploads/breed/thumb_serengeti.png,False,United States
Peterbald,https://dogell.b-cdn.net/uploads/breed/thumb_peterbald.png,False,Russia
Elf,https://dogell.b-cdn.net/uploads/breed/thumb_elf.png,False,United States
Ukrainian Levkoy,https://dogell.b-cdn.net/uploads/breed/thumb_ukrainian-levkoy.png,True,Ukraine
Minskin,https://dogell.b-cdn.net/uploads/breed/thumb_minskin.png,True,United States
Himalayan,https://dogell.b-cdn.net/uploads/breed/thumb_himalayan.png,False,United States
Pixie-Bob,https://dogell.b-cdn.net/uploads/breed/thumb_pixie-bob.png,False,United States
Asian Semi-longhair,https://dogell.b-cdn.net/uploads/breed/thumb_asian-semi-longhair.png,False,United Kingdom
British Longhair,https://dogell.b-cdn.net/uploads/breed/thumb_british-longhair.png,False,United Kingdom
Javanese,https://dogell.b-cdn.net/uploads/breed/thumb_javanese.png,True,United States
Cyprus,https://dogell.b-cdn.net/uploads/breed/thumb_cyprus.png,False,Cyprus
Aegean,https://dogell.b-cdn.net/uploads/breed/thumb_aegean.png,False,Greece
Nebelung,https://dogell.b-cdn.net/uploads/breed/thumb_nebelung.png,False,United States
Chantilly-Tiffany,https://dogell.b-cdn.net/uploads/breed/thumb_chantilly-tiffany.png,False,United States
Cheetoh,https://dogell.b-cdn.net/uploads/breed/thumb_cheetoh.png,True,United States
Asian,https://dogell.b-cdn.net/uploads/breed/thumb_asian.png,False,United Kingdom
Toyger,https://dogell.b-cdn.net/uploads/breed/thumb_toyger.png,False,United States
Brazilian Shorthair,https://dogell.b-cdn.net/uploads/breed/thumb_brazilian-shorthair.png,False,Brazil
Savannah,https://dogell.b-cdn.net/uploads/breed/thumb_savannah.png,False,United States
Arabian Mau,https://dogell.b-cdn.net/uploads/breed/thumb_arabian-mau.png,False,Iran
Cymric,https://dogell.b-cdn.net/uploads/breed/thumb_cymric.png,True,Canada
American Polydactyl,https://dogell.b-cdn.net/uploads/breed/thumb_american-polydactyl.png,False,United States
Chausie,https://dogell.b-cdn.net/uploads/breed/thumb_chausie.png,False,Egypt
Bambino,https://dogell.b-cdn.net/uploads/breed/thumb_bambino.png,False,United States
Australian Mist,https://dogell.b-cdn.net/uploads/breed/thumb_australian-mist.png,False,Australia
Snowshoe,https://dogell.b-cdn.net/uploads/breed/thumb_snowshoe.png,False,United States
York Chocolate,https://dogell.b-cdn.net/uploads/breed/thumb_york-chocolate.png,False,United States
Munchkin,https://dogell.b-cdn.net/uploads/breed/thumb_munchkin.png,False,United States
California Spangled,https://dogell.b-cdn.net/uploads/breed/thumb_california-spangled.png,True,United States
Ragamuffin,https://dogell.b-cdn.net/uploads/breed/thumb_ragamuffin.png,False,United States
American Curl,https://dogell.b-cdn.net/uploads/breed/thumb_american-curl.png,False,United States
Japanese Bobtail,https://dogell.b-cdn.net/uploads/breed/thumb_japanese-bobtail.png,False,Japan
Manx,https://dogell.b-cdn.net/uploads/breed/thumb_manx.png,False,United Kingdom
Egyptian Mau,https://dogell.b-cdn.net/uploads/breed/thumb_egyptian-mau.png,False,Egypt
Somali,https://dogell.b-cdn.net/uploads/breed/thumb_somali.png,False,Somalia
Balinese,https://dogell.b-cdn.net/uploads/breed/thumb_balinese.png,True,United States
Singapura,https://dogell.b-cdn.net/uploads/breed/thumb_singapura.png,False,Singapore
Colorpoint Shorthair,https://dogell.b-cdn.net/uploads/breed/thumb_colorpoint-shorthair.png,True,United States
Khao Manee,https://dogell.b-cdn.net/uploads/breed/thumb_khao-manee.png,False,Thailand
Lykoi,https://dogell.b-cdn.net/uploads/breed/thumb_lykoi.png,False,United States
Chartreux,https://dogell.b-cdn.net/uploads/breed/thumb_chartreux.png,False,France
Turkish Angora,https://dogell.b-cdn.net/uploads/breed/thumb_turkish-angora.png,False,Turkey
European Burmese,https://dogell.b-cdn.net/uploads/breed/thumb_european-burmese.png,False,Thailand
Bombay,https://dogell.b-cdn.net/uploads/breed/thumb_bombay.png,False,United States
Burmilla,https://dogell.b-cdn.net/uploads/breed/thumb_burmilla.png,False,United Kingdom
Korat,https://dogell.b-cdn.net/uploads/breed/thumb_korat.png,False,Thailand
American Bobtail,https://dogell.b-cdn.net/uploads/breed/thumb_american-bobtail.png,False,United States
Havana Brown,https://dogell.b-cdn.net/uploads/breed/thumb_havana-brown.png,False,United Kingdom
LaPerm,https://dogell.b-cdn.net/uploads/breed/thumb_laperm.png,False,United States
Turkish Van,https://dogell.b-cdn.net/uploads/breed/thumb_turkish-van.png,False,Turkey
American Wirehair,https://dogell.b-cdn.net/uploads/breed/thumb_american-wirehair.png,False,United States
American Longhair,https://dogell.b-cdn.net/uploads/breed/thumb_american-longhair.jpg,False,United States
